06:06:14.845 [MissionAirdrop] An airdrop is heading towards "Wind Farm" (pos=<6469.119629, 0.000000, 6864.399902> type=Random_WindFarm) with a ExpansionAirdropContainer_Military
07:32:09.893 [MissionAirdrop] An airdrop is heading towards "Erie" (pos=<723.437744, 0.000000, 8062.600098> type=Random_Erie) with a ExpansionAirdropContainer_Military
07:52:41.247 [VehicleDeleted] Old_Bike (id=0F0F2A45C84597C767F64BA968365BF7 pos=<3315.8, 173.56, 6682.46>)
07:53:05.092 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=42B005936A49E5F5B92745B9B7510749 pos=<3315.8, 173.36, 6676.43>) as driver
07:56:17.964 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=42B005936A49E5F5B92745B9B7510749 pos=<4523.18, 183.65, 6591.16>)
07:57:36.652 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=42B005936A49E5F5B92745B9B7510749 pos=<4523.18, 183.65, 6591.16>) as driver
08:03:36.431 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=42B005936A49E5F5B92745B9B7510749 pos=<6575.94, 145.84, 5929.02>)
08:03:43.993 [VehicleDeleted] Old_Bike (id=42B005936A49E5F5B92745B9B7510749 pos=<6575.94, 145.84, 5929.02>)
08:03:56.731 [VehicleEnter] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) entered vehicle Bicycle (id=BFDD093C5349791654A733B090D9BD03 pos=<6577.71, 145.11, 5931.75>) as driver
08:04:14.155 [Safezone] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs= pos=<6671.91, 121.05, 6017.96>) entered the safezone
08:04:55.996 [VehicleLeave] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) left vehicle Bicycle (id=BFDD093C5349791654A733B090D9BD03 pos=<6668.74, 102.49, 6130.78>)
08:05:09.818 [VehicleDeleted] Old_Bike (id=BFDD093C5349791654A733B090D9BD03 pos=<6668.74, 102.49, 6130.78>)
08:06:21.367 [Market] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) has sold mp133shotgun x1 (b77f8410) at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "Trader Zone" (pos=<6675.160645, 104.603935, 6114.155762>) and got 281.
08:06:25.912 [Market] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) has sold izh43shotgun x1 (b77f42c0) at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "Trader Zone" (pos=<6675.160645, 104.603935, 6114.155762>) and got 337.
08:06:27.569 [Market] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) has sold cz527 x1 (b77f4fd0) at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "Trader Zone" (pos=<6675.160645, 104.603935, 6114.155762>) and got 281.
08:06:30.416 [Market] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) has sold pnc_w_awm_snow x1 (b77fc560) at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "Trader Zone" (pos=<6675.160645, 104.603935, 6114.155762>) and got 4125.
08:06:42.328 [Market] Player "Gun" (id=dQV0MWQE63QrNRXqd-4btd7ZbIxSfqWMKo6FakQaWEs=) has sold pnc_w_scarh_camo x1 (b77f5ce0) at the trader "Weapons (Denis [#STR_EXPANSION_MARKET_TRADER_WEAPONS])" in market zone "Trader Zone" (pos=<6675.160645, 104.603935, 6114.155762>) and got 2531.
